"","image","plant","surface","diameter","convexHull","das","tr"
"55","TRcd_PL15_PA_DAT5.tif",4,2.7315993,2.6142886,0.49021003,5,"cadmium"
"56","TRcd_PL15_PA_DAT6.tif",0,2.187322,2.511583,0.6325872,6,"cadmium"
"57","TRcd_PL15_PA_DAT6.tif",1,3.9711418,3.629186,0.23128782,6,"cadmium"
"58","TRcd_PL15_PA_DAT6.tif",2,3.5456123,3.1912496,0.18983623,6,"cadmium"
"59","TRcd_PL15_PA_DAT6.tif",3,3.852995,3.3105345,1.2855998,6,"cadmium"
"60","TRcd_PL15_PA_DAT6.tif",4,3.192573,2.9434302,0.71088463,6,"cadmium"
"61","TRcd_PL15_PA_DAT7.tif",0,2.6787336,2.8223948,0.687055,7,"cadmium"
"62","TRcd_PL15_PA_DAT7.tif",1,5.092337,4.0030165,0.1876335,7,"cadmium"
"63","TRcd_PL15_PA_DAT7.tif",2,4.523629,3.5918317,0.0879094,7,"cadmium"
"64","TRcd_PL15_PA_DAT7.tif",3,4.85364,3.778302,2.2027411,7,"cadmium"
"65","TRcd_PL15_PA_DAT7.tif",4,3.928689,3.3351226,1.0110582,7,"cadmium"
"66","TRcd_PL15_PA_DAT8.tif",0,2.953075,3.1414456,1.2597677,8,"cadmium"
"67","TRcd_PL15_PA_DAT8.tif",1,6.2886257,4.373008,0.020625668,8,"cadmium"
"68","TRcd_PL15_PA_DAT8.tif",2,5.4904327,3.8040779,0.036245104,8,"cadmium"
"69","TRcd_PL15_PA_DAT8.tif",3,6.0012684,4.1472645,2.3431158,8,"cadmium"
"70","TRcd_PL15_PA_DAT8.tif",4,4.762126,3.6808233,4.2929425,8,"cadmium"
"71","TRcd_PL15_PA_DAT9.tif",0,3.5540228,3.4137518,1.5657485,9,"cadmium"
"72","TRcd_PL15_PA_DAT9.tif",1,7.486116,4.725398,0.20145069,9,"cadmium"
"73","TRcd_PL15_PA_DAT9.tif",2,6.693129,4.4040365,0.21226415,9,"cadmium"
"74","TRcd_PL15_PA_DAT9.tif",3,7.3271184,4.794163,2.0271227,9,"cadmium"
"75","TRcd_PL15_PA_DAT9.tif",4,5.8833213,4.0724244,1.4848478,9,"cadmium"
"76","TRcd_PL610_PA_DAT10.tif",0,6.0052733,3.7243874,0.8706835,10,"cadmium"
"77","TRcd_PL610_PA_DAT10.tif",1,10.867925,5.43737,0.33221343,10,"cadmium"
"78","TRcd_PL610_PA_DAT10.tif",2,8.659777,5.153742,2.7390084,10,"cadmium"
"79","TRcd_PL610_PA_DAT10.tif",3,8.575872,4.701884,0.15439214,10,"cadmium"
"80","TRcd_PL610_PA_DAT10.tif",4,6.98309,4.4158654,0.9894313,10,"cadmium"
"81","TRcd_PL610_PA_DAT11.tif",0,7.343739,4.1062126,1.5981889,11,"cadmium"
"82","TRcd_PL610_PA_DAT11.tif",1,13.847232,5.9823523,0.94417495,11,"cadmium"
"83","TRcd_PL610_PA_DAT11.tif",2,10.10878,5.445466,3.0047393,11,"cadmium"
"84","TRcd_PL610_PA_DAT11.tif",3,10.608001,5.040796,0.45897117,11,"cadmium"
"85","TRcd_PL610_PA_DAT11.tif",4,8.55785,4.8005915,0.92254806,11,"cadmium"
"86","TRcd_PL610_PA_DAT12.tif",0,8.424484,4.3813114,2.198536,12,"cadmium"
"87","TRcd_PL610_PA_DAT12.tif",1,16.236404,6.2953253,1.072735,12,"cadmium"
"88","TRcd_PL610_PA_DAT12.tif",2,11.501113,5.7153697,2.987718,12,"cadmium"
"89","TRcd_PL610_PA_DAT12.tif",3,12.464711,5.467925,0.6393957,12,"cadmium"
"90","TRcd_PL610_PA_DAT12.tif",4,10.335462,5.228769,0.56169903,12,"cadmium"
"91","TRcd_PL610_PA_DAT13.tif",0,9.598946,4.7990894,2.7135768,13,"cadmium"
"92","TRcd_PL610_PA_DAT13.tif",1,19.39033,6.871489,2.2792363,13,"cadmium"
"93","TRcd_PL610_PA_DAT13.tif",2,12.726037,5.9320984,3.4250624,13,"cadmium"
"94","TRcd_PL610_PA_DAT13.tif",3,14.564124,5.943817,1.1406194,13,"cadmium"
"95","TRcd_PL610_PA_DAT13.tif",4,12.703009,5.727235,0.9159398,13,"cadmium"
"96","TRcd_PL610_PA_DAT14.tif",0,10.911779,5.065583,3.047192,14,"cadmium"
"97","TRcd_PL610_PA_DAT14.tif",1,22.344406,7.363238,3.0051398,14,"cadmium"
"98","TRcd_PL610_PA_DAT14.tif",2,14.007431,6.028568,3.3529725,14,"cadmium"
"99","TRcd_PL610_PA_DAT14.tif",3,16.845163,6.130299,1.945421,14,"cadmium"
"100","TRcd_PL610_PA_DAT14.tif",4,15.044723,6.150372,1.4990655,14,"cadmium"
"101","TRcd_PL610_PA_DAT15.tif",0,11.697357,5.2815638,2.9448647,15,"cadmium"
"102","TRcd_PL610_PA_DAT15.tif",1,23.861494,7.594681,3.8285644,15,"cadmium"
"103","TRcd_PL610_PA_DAT15.tif",2,14.531283,6.1181355,2.8145025,15,"cadmium"
"104","TRcd_PL610_PA_DAT15.tif",3,18.8841,6.5264235,2.3837664,15,"cadmium"
"105","TRcd_PL610_PA_DAT15.tif",4,16.573025,6.3871565,2.1494749,15,"cadmium"
"106","TRcd_PL610_PA_DAT16.tif",0,11.995928,5.445043,2.8853908,16,"cadmium"
"107","TRcd_PL610_PA_DAT16.tif",1,23.72232,7.832838,3.2059896,16,"cadmium"
"108","TRcd_PL610_PA_DAT16.tif",2,14.257943,6.152146,2.969095,16,"cadmium"
"109","TRcd_PL610_PA_DAT16.tif",3,20.943062,7.665189,2.7326005,16,"cadmium"
"110","TRcd_PL610_PA_DAT16.tif",4,17.795746,6.480576,2.3547304,16,"cadmium"
"111","TRcd_PL610_PA_DAT17.tif",0,12.241434,5.518233,2.960284,17,"cadmium"
"112","TRcd_PL610_PA_DAT17.tif",1,23.587753,7.9974995,2.3637416,17,"cadmium"
"113","TRcd_PL610_PA_DAT17.tif",2,14.175441,6.145258,2.8110983,17,"cadmium"
"114","TRcd_PL610_PA_DAT17.tif",3,21.698202,8.360238,2.8385324,17,"cadmium"
"115","TRcd_PL610_PA_DAT17.tif",4,18.581524,6.775746,2.6272695,17,"cadmium"
"116","TRcd_PL610_PA_DAT18.tif",0,11.865566,5.524181,3.0972543,18,"cadmium"
"117","TRcd_PL610_PA_DAT18.tif",1,21.587866,8.023422,1.8647206,18,"cadmium"
"118","TRcd_PL610_PA_DAT18.tif",2,13.2220545,6.062767,2.6512995,18,"cadmium"
"119","TRcd_PL610_PA_DAT18.tif",3,21.729841,7.454969,3.1719472,18,"cadmium"
"120","TRcd_PL610_PA_DAT18.tif",4,16.684763,6.533584,2.553778,18,"cadmium"
"121","TRcd_PL610_PA_DAT4.tif",0,1.8637193,2.025118,0.41091135,4,"cadmium"
"122","TRcd_PL610_PA_DAT4.tif",1,2.5251424,2.366933,0.0370461,4,"cadmium"
"123","TRcd_PL610_PA_DAT4.tif",2,2.8054912,2.8553364,0.0752937,4,"cadmium"
"124","TRcd_PL610_PA_DAT4.tif",3,3.2234113,2.7214732,0.032240123,4,"cadmium"
"125","TRcd_PL610_PA_DAT4.tif",4,1.7950338,1.8918388,0.28835884,4,"cadmium"
"126","TRcd_PL610_PA_DAT5.tif",0,2.392978,2.281771,0.43133676,5,"cadmium"
"127","TRcd_PL610_PA_DAT5.tif",1,3.0145514,2.9379826,0.0887104,5,"cadmium"
"128","TRcd_PL610_PA_DAT5.tif",2,3.6235092,3.3564892,0.50683075,5,"cadmium"
"129","TRcd_PL610_PA_DAT5.tif",3,3.9617302,3.1457772,0.026432894,5,"cadmium"
"130","TRcd_PL610_PA_DAT5.tif",4,2.441238,2.2687895,0.21626914,5,"cadmium"
"131","TRcd_PL610_PA_DAT6.tif",0,2.6787336,2.53902,0.61816925,6,"cadmium"
"132","TRcd_PL610_PA_DAT6.tif",1,3.530794,3.312802,0.032039873,6,"cadmium"
"133","TRcd_PL610_PA_DAT6.tif",2,4.3548193,3.7554429,0.84405035,6,"cadmium"
"134","TRcd_PL610_PA_DAT6.tif",3,4.4947934,3.746661,0.027033642,6,"cadmium"
"135","TRcd_PL610_PA_DAT6.tif",4,2.8046904,2.6447124,0.29136258,6,"cadmium"
"136","TRcd_PL610_PA_DAT7.tif",0,3.391821,2.924593,1.7643957,7,"cadmium"
"137","TRcd_PL610_PA_DAT7.tif",1,5.7313323,4.004517,1.2741857,7,"cadmium"
"138","TRcd_PL610_PA_DAT7.tif",2,5.3122106,4.0441504,0.2917631,7,"cadmium"
"139","TRcd_PL610_PA_DAT7.tif",3,4.775743,3.6901145,0.24130028,7,"cadmium"
"140","TRcd_PL610_PA_DAT7.tif",4,3.7440593,2.9759066,0.06748398,7,"cadmium"
"141","TRcd_PL610_PA_DAT8.tif",0,4.19442,3.16488,0.8432494,8,"cadmium"
"142","TRcd_PL610_PA_DAT8.tif",1,7.1256676,4.381517,0.31198826,8,"cadmium"
"143","TRcd_PL610_PA_DAT8.tif",2,6.2746086,4.2378473,1.168454,8,"cadmium"
"144","TRcd_PL610_PA_DAT8.tif",3,5.549506,4.0346074,0.050262548,8,"cadmium"
"145","TRcd_PL610_PA_DAT8.tif",4,4.5320396,3.3502789,1.0507076,8,"cadmium"
"146","TRcd_PL610_PA_DAT9.tif",0,4.788559,3.3746068,0.2877581,9,"cadmium"
"147","TRcd_PL610_PA_DAT9.tif",1,8.790139,4.7021394,0.03304112,9,"cadmium"
"148","TRcd_PL610_PA_DAT9.tif",2,7.2694464,4.7238297,1.9332057,9,"cadmium"
"149","TRcd_PL610_PA_DAT9.tif",3,6.965468,4.403468,0.06528124,9,"cadmium"
"150","TRcd_PL610_PA_DAT9.tif",4,5.686677,3.9064038,1.2577652,9,"cadmium"
"151","TRmock_PL15_PA_DAT10.tif",0,10.424573,5.691178,0.7156906,10,"mock"
"152","TRmock_PL15_PA_DAT10.tif",1,15.094384,7.2924056,3.3127224,10,"mock"
"153","TRmock_PL15_PA_DAT10.tif",2,8.226838,4.7326393,2.663114,10,"mock"
"154","TRmock_PL15_PA_DAT10.tif",3,9.138773,5.3395767,2.0641687,10,"mock"
"155","TRmock_PL15_PA_DAT10.tif",4,9.893512,5.692568,2.4354308,10,"mock"
"156","TRmock_PL15_PA_DAT11.tif",0,12.374399,5.918969,0.49761927,11,"mock"
"157","TRmock_PL15_PA_DAT11.tif",1,17.679,8.132706,4.9415493,11,"mock"
"158","TRmock_PL15_PA_DAT11.tif",2,10.411156,4.990069,3.1849635,11,"mock"
"159","TRmock_PL15_PA_DAT11.tif",3,11.625868,6.070491,3.0501957,11,"mock"
"160","TRmock_PL15_PA_DAT11.tif",4,12.694398,6.356909,3.038982,11,"mock"
"161","TRmock_PL15_PA_DAT12.tif",0,14.197868,6.607142,0.64239943,12,"mock"
"162","TRmock_PL15_PA_DAT12.tif",1,21.131496,8.5491495,5.936588,12,"mock"
"163","TRmock_PL15_PA_DAT12.tif",2,13.0942955,5.386084,2.1951318,12,"mock"
"164","TRmock_PL15_PA_DAT12.tif",3,13.335595,6.5200844,4.3211775,12,"mock"
"165","TRmock_PL15_PA_DAT12.tif",4,13.796969,6.770395,3.2194064,12,"mock"
"166","TRmock_PL15_PA_DAT13.tif",0,17.386436,8.197013,1.0975659,13,"mock"
"167","TRmock_PL15_PA_DAT13.tif",1,26.455322,9.722202,6.474257,13,"mock"
"168","TRmock_PL15_PA_DAT13.tif",2,15.989498,6.71842,1.683495,13,"mock"
"169","TRmock_PL15_PA_DAT13.tif",3,15.380139,7.0470276,5.559919,13,"mock"
"170","TRmock_PL15_PA_DAT13.tif",4,17.816772,7.5714293,4.022005,13,"mock"
"171","TRmock_PL15_PA_DAT14.tif",0,20.90041,8.949954,1.0803444,14,"mock"
"172","TRmock_PL15_PA_DAT14.tif",1,31.693441,10.352148,8.575872,14,"mock"
"173","TRmock_PL15_PA_DAT14.tif",2,19.774408,7.7441354,3.4362762,14,"mock"
"174","TRmock_PL15_PA_DAT14.tif",3,18.058073,7.673531,6.458037,14,"mock"
"175","TRmock_PL15_PA_DAT14.tif",4,21.645737,7.984506,4.802977,14,"mock"
"176","TRmock_PL15_PA_DAT15.tif",0,26.85662,9.996457,1.5997908,15,"mock"
"177","TRmock_PL15_PA_DAT15.tif",1,38.730797,11.393153,8.290317,15,"mock"
"178","TRmock_PL15_PA_DAT15.tif",2,24.047525,8.599083,6.0951853,15,"mock"
"179","TRmock_PL15_PA_DAT15.tif",3,19.215714,8.195876,6.847321,15,"mock"
