"","image","root_name","root","length","surface","volume","convexhull","diameter","root_order","root_ontology","parent_name","parent","insertion_position","insertion_angle","n_child","child_density","first_child","insertion_first_child","last_child","insertion_last_child"
"177","TRmock_PL5_DAT18.xml","root_11","69b27f32-0c09-42c8-961a-be2f60534f77",1.25365,0.378119,0.0145895,0,0.141215,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",9.73495,14.9889,0,0,"",NA,"",NA
"178","TRmock_PL5_DAT18.xml","root_10","9a2bb49e-8486-4095-8d58-77bdffdb244a",0.986635,0.322308,0.0158881,0,0.168623,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",9.38065,24.9439,0,0,"",NA,"",NA
"179","TRmock_PL5_DAT18.xml","root_9","16f57c65-9163-4151-9534-8a85544d701e",0.803186,0.311267,0.0130266,0,0.153672,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",8.70041,19.036,0,0,"",NA,"",NA
"180","TRmock_PL5_DAT18.xml","root_8","4afc153e-0819-404d-bcfc-7645493cf1eb",0.73714,0.213709,0.00594094,0,0.0970381,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",8.15158,35.2163,0,0,"",NA,"",NA
"181","TRmock_PL5_DAT18.xml","root_7","273a53d5-df9b-4781-b153-b31185595f73",0.764366,0.256303,0.00804114,0,0.122058,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",7.68024,36.1516,0,0,"",NA,"",NA
"182","TRmock_PL5_DAT18.xml","root_6","4785862f-8213-4fdc-8a03-cf750ab791ae",0.417264,0.0700306,0.00331654,0,0.150971,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",7.16722,26.014,0,0,"",NA,"",NA
"183","TRmock_PL5_DAT18.xml","root_5","a2af19df-a039-498d-8cec-cf148aaa63d5",0.267776,0.040963,0.00156426,0,0.104711,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",6.28466,81.7306,0,0,"",NA,"",NA
"184","TRmock_PL5_DAT18.xml","root_4","4f384d6b-08a5-4d45-b669-83ace6ec3672",0.283302,0.057281,0.00190204,0,0.120821,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",6.02088,62.9021,0,0,"",NA,"",NA
"185","TRmock_PL5_DAT18.xml","root_3","4c46eb5e-b836-4e21-9a93-7a13ef4eee08",0.205182,0.0478628,0.00196637,0,0.11494,1,"Lateral root","root_0","6f6e6f05-2d13-46b2-9112-baea09b66aa1",5.70615,64.7102,0,0,"",NA,"",NA
"193","TRmock_PL6_DAT18.xml","root_12","b5922c7d-94ec-45c5-88a3-48794bca6caf",1.54761,0.339822,0.0115791,0,0.136636,1,"Lateral root","root_2","33f138b6-fdea-4686-bfac-efabd6257a10",13.8482,4.7425,0,0,"",NA,"",NA
"194","TRmock_PL6_DAT18.xml","root_11","bada1979-b317-453f-a77a-09ccdad1b04e",1.17733,0.138563,0.00775237,0,0.185401,1,"Lateral root","root_2","33f138b6-fdea-4686-bfac-efabd6257a10",11.9729,17.0745,0,0,"",NA,"",NA
"195","TRmock_PL6_DAT18.xml","root_10","6f21cfde-590f-4e33-854c-27b9d6336d62",1.13027,0.179323,0.00657525,0,0.144033,1,"Lateral root","root_2","33f138b6-fdea-4686-bfac-efabd6257a10",10.1865,29.2987,0,0,"",NA,"",NA
"196","TRmock_PL6_DAT18.xml","root_9","3671d5c8-cddb-4940-9e77-e1a9b73f868b",1.53139,0.262709,0.00976338,0,0.142763,1,"Lateral root","root_2","33f138b6-fdea-4686-bfac-efabd6257a10",10.8072,14.0901,0,0,"",NA,"",NA
"197","TRmock_PL6_DAT18.xml","root_8","fbfb7569-55c0-4549-a75c-4754be67d298",1.07691,0.292789,0.0133992,0,0.154814,1,"Lateral root","root_2","33f138b6-fdea-4686-bfac-efabd6257a10",9.13969,33.2965,0,0,"",NA,"",NA
"198","TRmock_PL6_DAT18.xml","root_7","7b0530c0-f80d-4d68-8745-66bd1778fce3",0.409102,0.0563905,0.00185524,0,0.1143,1,"Lateral root","root_2","33f138b6-fdea-4686-bfac-efabd6257a10",5.80228,67.2509,0,0,"",NA,"",NA
"201","TRmock_PL8_DAT18.xml","root_10","ab3e68a4-d890-456e-b3d6-93dea48b5ee1",0.533282,0.0542165,0.00130015,0,0.109105,1,"Lateral root","root_1","0e444ab1-aadc-4205-a61f-e29c658a8754",5.95591,54.6601,0,0,"",NA,"",NA
"204","TRmock_PL8_DAT18.xml","root_7","97ad43a2-ad16-4e1e-a5d2-69a37e325f8c",1.05747,0.358662,0.0198739,0,0.194483,1,"Lateral root","root_0","c84a97f2-6d16-4879-ac5c-6c47636488b9",8.76231,19.1413,0,0,"",NA,"",NA
"205","TRmock_PL8_DAT18.xml","root_6","08cd71a3-be7f-4332-85de-b7f62df6115a",1.57795,0.70779,0.0345143,0,0.197451,1,"Lateral root","root_0","c84a97f2-6d16-4879-ac5c-6c47636488b9",8.76231,8.38507,0,0,"",NA,"",NA
"206","TRmock_PL8_DAT18.xml","root_5","f87340a4-189a-4216-852a-e69641cd412a",1.72279,0.58464,0.026807,0,0.175465,1,"Lateral root","root_0","c84a97f2-6d16-4879-ac5c-6c47636488b9",8.76231,3.82349,0,0,"",NA,"",NA
"207","TRmock_PL8_DAT18.xml","root_4","b00a832c-c616-4eb1-b791-83911a8d8eab",1.79061,0.262813,0.0170985,0,0.135688,1,"Lateral root","root_0","c84a97f2-6d16-4879-ac5c-6c47636488b9",8.76231,0.235341,0,0,"",NA,"",NA
